idx,site,title,url
0,https://asaiint.com/,"1King Bet’te görsellik ve ses tasarımı birleşerek sahneyi kurar",https://asaiint.com/1king-bette-gorsellik-ve-ses-tasarimi-birleserek-sahneyi-kurar/
1,https://asaiint.com/,"Aloita viisaasti – opas kasinopelaamisen ensiaskeleisiin",https://asaiint.com/aloita-viisaasti-opas-kasinopelaamisen-ensiaskeleisiin/
2,https://asaiint.com/,"Instant casino play built for those craving swift excitement",https://asaiint.com/instant-casino-play-built-for-those-craving-swift-excitement/
3,https://asaiint.com/,"Kasinon yöilme – valot, varjot ja pelaamisen tahti",https://asaiint.com/kasinon-yoilme-valot-varjot-ja-pelaamisen-tahti/
4,https://asaiint.com/,"Les crash games – montée d’adrénaline garantie à chaque instant",https://asaiint.com/les-crash-games-montee-dadrenaline-garantie-a-chaque-instant/
5,https://asaiint.com/,"Poker talian – permainan minda dan keberanian",https://asaiint.com/poker-talian-permainan-minda-dan-keberanian/
6,https://asaiint.com/,"Безопасная игра и контроль эмоций в казино",https://asaiint.com/%d0%b1%d0%b5%d0%b7%d0%be%d0%bf%d0%b0%d1%81%d0%bd%d0%b0%d1%8f-%d0%b8%d0%b3%d1%80%d0%b0-%d0%b8-%d0%ba%d0%be%d0%bd%d1%82%d1%80%d0%be%d0%bb%d1%8c-%d1%8d%d0%bc%d0%be%d1%86%d0%b8%d0%b9-%d0%b2-%d0%ba%d0%b0/
7,https://asaiint.com/,"Гайд для новичка поможет уверенно войти в азартный мир",https://asaiint.com/%d0%b3%d0%b0%d0%b9%d0%b4-%d0%b4%d0%bb%d1%8f-%d0%bd%d0%be%d0%b2%d0%b8%d1%87%d0%ba%d0%b0-%d0%bf%d0%be%d0%bc%d0%be%d0%b6%d0%b5%d1%82-%d1%83%d0%b2%d0%b5%d1%80%d0%b5%d0%bd%d0%bd%d0%be-%d0%b2%d0%be%d0%b9/
8,https://asaiint.com/,"Как начать играть – шаги для новичков в онлайн казино",https://asaiint.com/%d0%ba%d0%b0%d0%ba-%d0%bd%d0%b0%d1%87%d0%b0%d1%82%d1%8c-%d0%b8%d0%b3%d1%80%d0%b0%d1%82%d1%8c-%d1%88%d0%b0%d0%b3%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%bd%d0%be%d0%b2%d0%b8%d1%87%d0%ba%d0%be%d0%b2/
9,https://asaiint.com/,"Опыт мобильного казино создаёт чувство полного контроля",https://asaiint.com/%d0%be%d0%bf%d1%8b%d1%82-%d0%bc%d0%be%d0%b1%d0%b8%d0%bb%d1%8c%d0%bd%d0%be%d0%b3%d0%be-%d0%ba%d0%b0%d0%b7%d0%b8%d0%bd%d0%be-%d1%81%d0%be%d0%b7%d0%b4%d0%b0%d1%91%d1%82-%d1%87%d1%83%d0%b2%d1%81%d1%82/
